7J0|Japan (Shin'etsu), Guest Operators
ZZ3[A-Y]%%|Brazil, Rio Grande do Sul (RS), Class D (VHF)
ZZ4[A-Y]%%|Brazil, Minas Gerais (MG), Class D (VHF)
ZZ5[A-L]%%|Brazil, Santa Catarina (SC), Class D (VHF)
ZZ5[M-Y]%%|Brazil, Parana (PR), Class D (VHF)
ZZ6[A-I]%%|Brazil, Sergipe (SE), Class D (VHF)
ZZ6[J-Y]%%|Brazil, Bahia (BA), Class D (VHF)
ZZ7[A-D]%%|Brazil, Alagoas (AL), Class D (VHF)
ZZ7[E-H]%%|Brazil, Paraiba (PB), Class D (VHF)
ZZ7[I-L]%%|Brazil, Rio Grande do Norte (RN), Class D (VHF)
ZZ7[M-P]%%|Brazil, Ceara (CE), Class D (VHF)
ZZ7[R-Y]%%|Brazil, Pernambuco (PE), Class D (VHF)
ZZ8[A-C]%%|Brazil, Amazonas (AM), Class D (VHF)
ZZ8[D-F]%%|Brazil, Rondonia (RO), Class D (VHF)
ZZ8[G-I]%%|Brazil, Amapa (AP), Class D (VHF)
ZZ8[J-L]%%|Brazil, Acre (AC), Class D (VHF)
ZZ8[M-O]%%|Brazil, Maranhao (MA), Class D (VHF)
ZZ8[P-S]%%|Brazil, Piaui (PI), Class D (VHF)
ZZ8[T-V]%%|Brazil, Roraima (RR), Class D (VHF)
ZZ8[W-Y]%%|Brazil, Para (PA), Class D (VHF)
ZZ9[A-N]%%|Brazil, Mato Grosso do Sul (MS), Class D (VHF)
ZZ9[O-Y]%%|Brazil, Mato Grosso (MT), Class D (VHF)
PY## P[O-X]## Z[V-Z]#%%%%|Brazil, Special Station
P[OPQRSTUVWXY]0 P[OPQRSTUVWXY]0F|Fernando de Noronha
P[OPQRSTUVWXY]0P P[O-Y]0S|St. Peter & St. Paul Rocks
P[OPQRSTUVWXY]0T|Trindade & Martim Vaz Islands
P[O-Y]0Z%% P[O-Y]0ZF%|Fernando de Noronha, Guest Operators
P[O-Y]0R Z[V-Z]0R P[O-Y]0ZR? Z[V-Z]0ZR?|Brazil, Atol das Rocas
Z[V-Z]0 Z[V-Z]0F Z[V-Z]0Z%%|Fernando de Noronha, Special or Contest Station
Z[V-Z]0R Z[V-Z]0ZR?|Brazil, Atol das Rocas, Special or Contest Station
P[O-Y]0Z[PS]? Z[V-Z]0Z[PS]?|St. Peter & St. Paul Rocks, Guest Operators
Z[V-Z]0[PS]|St. Peter & St. Paul Rocks, Special or Contest Station
P[O-Y]0ZT? Z[V-Z]0ZT?|Trindade & Martim Vaz Islands, Guest Operators
P[P-Y]0M P[P-Y]0ZM? Z[V-Z]0M Z[V-Z]0ZM?|Martim Vaz Island
P[P-Y]0ZM? Z[V-Z]0ZM?|Martim Vaz Island, Guest Operators
Z[V-Z]0T Z[V-Z]0ZT?|Trindade & Martim Vaz Islands, Special or Contest Station
PZ0|Suriname, Special Station
PZ1|Suriname, Paramaribo
PZ2|Suriname, Nickerie
PZ3|Suriname, Coronie
PZ4|Suriname, Saramacca
PZ5|Suriname, Guest Operators
PZ6|Suriname, Para
PZ7|Suriname, Brokopondo
PZ8|Suriname, Commewijne
PZ9|Suriname, Marowijne
4K2|Franz Josef Land, [Russian Territory] (FJ)
R1F[A-Z] R1F[A-Z]% RI1FJ|Franz Josef Land, [Russian Territory] (FJ)
R1M[A-Z] R1M[A-Z]% RI1MV|Malyj Vysotskij Island, [Russian Territory] (MV)
4J1F[A-Z]|Malyj Vysotskij Island, [Russian Territory] (MV)
VQ9|Seychelles
CR5|Sao Tome & Principe
S20 S2[2-9] S3|Bangladesh (East Pakistan), Special Station
SM0|Sweden, Stockholm City
SM1|Sweden, Gotland Isl.
SM2|Sweden, Vaesterbotten Area
SM3|Sweden, Vaesternorrland Area
SM4|Sweden, Oerebro Area
SM5|Sweden, Uppsala Area
SM6|Sweden, Goeteborg Area
SM7|Sweden, Malmoe Area
SH0[A-Z]%%|Sweden, Stockholm City, Novice
SH1[A-Z]%%|Sweden, Gotland Isl., Novice
SH2[A-Z]%%|Sweden, Vaesterbotten Area, Novice
SH3[A-Z]%%|Sweden, Vaesternorrland Area, Novice
SH4[A-Z]%%|Sweden, Oerebro Area, Novice
SH5[A-Z]%%|Sweden, Uppsala Area, Novice
SH6[A-Z]%%|Sweden, Goeteborg Area, Novice
SH7[A-Z]%%|Sweden, Malmoe Area, Novice
SA0% SA0%% S[B-GIJ]0 S[HKLM]0% SH0%%|Sweden, Stockholm City, Special Station
SA1% SA1%% S[B-GIJ]1 S[HKLM]1% SH1%%|Sweden, Gotland Isl., Special Station
SA2% SA2%% S[B-GIJ]2 S[HKLM]2% SH2%%|Sweden, Vaesterbotten Area, Special Station
SA3% SA3%% S[B-GIJ]3 S[HKLM]3% SH3%%|Sweden, Vaesternorrland Area, Special Station
SA4% SA4%% S[B-GIJ]4 S[HKLM]4% SH4%%|Sweden, Oerebro Area, Special Station
SA5% SA5%% S[B-GIJ]5 S[HKLM]5% SH5%%|Sweden, Uppsala Area, Special Station
SA6% SA6%% S[B-GIJ]6 S[HKLM]6% SH6%%|Sweden, Goeteborg Area, Special Station
SA7% SA7%% S[B-GIJ]7 S[HKLM]7% SH7%%|Sweden, Malmoe Area, Special Station
SK0[A-Z]|Sweden, Stockholm City, Club Station
SK1[A-Z]|Sweden, Gotland Isl., Club Station
SK2[A-Z]|Sweden, Vaesterbotten Area, Club Station
SK3[A-Z]|Sweden, Vaesternorrland Area, Club Station
SK4[A-Z]|Sweden, Oerebro Area, Club Station
SK5[A-Z]|Sweden, Uppsala Area, Club Station
SK6[A-Z]|Sweden, Goeteborg Area, Club Station
SK7[A-Z]|Sweden, Malmoe Area, Club Station
SL0[A-Z]% SL0[A-Z]%%|Sweden, Stockholm City, Army Station
SL1[A-Z]% SL1[A-Z]%%|Sweden, Gotland Isl.,Army Station
SL2[A-Z]% SL2[A-Z]%%|Sweden, Vaesterbotten Area, Army Station
SL3[A-Z]% SL3[A-Z]%%|Sweden, Vaesternorrland Area, Army Station
SL4[A-Z]% SL4[A-Z]%%|Sweden, Oerebro Area, Army Station
SL5[A-Z]% SL5[A-Z]%%|Sweden, Uppsala Area, Army Station
SL6[A-Z]% SL6[A-Z]%%|Sweden, Goeteborg Area, Army Station
SL7[A-Z]% SL7[A-Z]%%|Sweden, Malmoe Area, Army Station
SL8[A-Z]% SL8[A-Z]%%|Sweden, Naval Training Station
SM0[A-Z]% SM0[A-Z]%% SA0[A-Z]%%|Sweden, Stockholm City
SM1[A-Z]% SM1[A-Z]%% SA1[A-Z]%%|Sweden, Gotland Isl.
SM2[A-Z]% SM2[A-Z]%% SA2[A-Z]%%|Sweden, Vaesterbotten Area
SM3[A-Z]% SM3[A-Z]%% SA3[A-Z]%%|Sweden, Vaesternorrland Area
SM4[A-Z]% SM4[A-Z]%% SA4[A-Z]%%|Sweden, Oerebro Area
SM5[A-Z]% SM5[A-Z]%% SA5[A-Z]%%|Sweden, Uppsala Area
SM6[A-Z]% SM6[A-Z]%% SA6[A-Z]%%|Sweden, Goeteborg Area
SM7[A-Z]% SM7[A-Z]%% SA7[A-Z]%%|Sweden, Malmoe Area
7S0 8S0 7S[A-M]0 8S[A-M]0|Sweden, Stockholm City, Special or Contest Station
7S1 8S1 7S[A-M]1 8S[A-M]1|Sweden, Gotland Isl., Special or Contest Station
7S2 8S2 7S[A-M]2 8S[A-M]2|Sweden, Vaesterbotten Area, Special or Contest Station
7S3 8S3 7S[A-M]3 8S[A-M]3|Sweden, Vaesternorrland Area, Special or Contest Station
7S4 8S4 7S[A-M]4 8S[A-M]4|Sweden, Oerebro Area, Special or Contest Station
7S5 8S5 7S[A-M]5 8S[A-M]5|Sweden, Uppsala Area, Special or Contest Station
7S6 8S6 7S[A-M]6 8S[A-M]6|Sweden, Goeteborg Area, Special or Contest Station
7S7 8S7 7S[A-M]7 8S[A-M]7|Sweden, Malmoe Area, Special or Contest Station
S[A-M]##[A-Z] S[A-M]###[A-Z] S[A-M]####[A-Z] S[A-M][8-9] 7S[8-9] 8S[8-9] 7S[A-M][8-9] 8S[A-M][8-9]|Sweden, Special Station
SN1[A-Z] SO1[A-Z] SR1[A-Z] 3Z1[A-Z] HF1[A-Z]|Poland, Sczeczin, Contest Station
SN2[A-Z] SO2[A-Z] SR2[A-Z] 3Z2[A-Z] HF2[A-Z]|Poland, Gdansk, Contest Station
SN3[A-Z] SO3[A-Z] SR3[A-Z] 3Z3[A-Z] HF3[A-Z]|Poland, Gorzow, Contest Station
SN4[A-Z] SO4[A-Z] SR4[A-Z] 3Z4[A-Z] HF4[A-Z]|Poland, Bialystok, Contest Station
SN5[A-Z] SO5[A-Z] SR5[A-Z] 3Z5[A-Z] HF5[A-Z]|Poland, Warszawa, Contest Station
SN6[A-Z] SO6[A-Z] SR6[A-Z] 3Z6[A-Z] HF6[A-Z]|Poland, Wroclaw, Contest Station
SN7[A-Z] SO7[A-Z] SR7[A-Z] 3Z7[A-Z] HF7[A-Z]|Poland, Lodz, Contest Station
SN8[A-Z] SO8[A-Z] SR8[A-Z] 3Z8[A-Z] HF8[A-Z]|Poland, Bielsko Biala, Contest Station
SN9[A-Z] SO9[A-Z] SR9[A-Z] 3Z9[A-Z] HF9[A-Z]|Poland, Krakow, Contest Station
SO1[A-Z]% SO1[A-Z]%%|Poland, Sczeczin, Guest Operators
SO2[A-Z]% SO2[A-Z]%%|Poland, Gdansk, Guest Operators
SO3[A-Z]% SO3[A-Z]%%|Poland, Gorzow, Guest Operators
SO4[A-Z]% SO4[A-Z]%%|Poland, Bialystok, Guest Operators
SO5[A-Z]% SO5[A-Z]%%|Poland, Warszawa, Guest Operators
SO6[A-Z]% SO6[A-Z]%%|Poland, Wroclaw, Guest Operators
SO7[A-Z]% SO7[A-Z]%%|Poland, Lodz, Guest Operators
SO8[A-Z]% SO8[A-Z]%%|Poland, Bielsko Biala, Guest Operators
SO9[A-Z]% SO9[A-Z]%%|Poland, Krakow, Guest Operators
SP1 SQ1|Poland, Sczeczin
SP2 SQ2|Poland, Gdansk
SP3 SQ3|Poland, Gorzow
SP4 SQ4|Poland, Bialystok
SP5 SQ5|Poland, Warszawa
SP6 SQ6|Poland, Wroclaw
SP7 SQ7|Poland, Lodz
SP8 SQ8|Poland, Bielsko Biala
SP9 SQ9|Poland, Krakow
SN1[A-Z]% 3Z1[A-Z]% HF1[A-Z]% SN1[A-Z]%% 3Z1[A-Z]%% HF1[A-Z]%%|Poland, Sczeczin, Special Station
SN2[A-Z]% 3Z2[A-Z]% HF2[A-Z]% SN2[A-Z]%% 3Z2[A-Z]%% HF2[A-Z]%%|Poland, Gdansk, Special Station
SN3[A-Z]% 3Z3[A-Z]% HF3[A-Z]% SN3[A-Z]%% 3Z3[A-Z]%% HF3[A-Z]%%|Poland, Gorzow, Special Station
SN4[A-Z]% 3Z4[A-Z]% HF4[A-Z]% SN4[A-Z]%% 3Z4[A-Z]%% HF4[A-Z]%%|Poland, Bialystok, Special Station
SN5[A-Z]% 3Z5[A-Z]% HF5[A-Z]% SN5[A-Z]%% 3Z5[A-Z]%% HF5[A-Z]%%|Poland, Warszawa, Special Station
SN6[A-Z]% 3Z6[A-Z]% HF6[A-Z]% SN6[A-Z]%% 3Z6[A-Z]%% HF6[A-Z]%%|Poland, Wroclaw, Special Station
SN7[A-Z]% 3Z7[A-Z]% HF7[A-Z]% SN7[A-Z]%% 3Z7[A-Z]%% HF7[A-Z]%%|Poland, Lodz, Special Station
SN8[A-Z]% 3Z8[A-Z]% HF8[A-Z]% SN8[A-Z]%% 3Z8[A-Z]%% HF8[A-Z]%%|Poland, Bielsko Biala, Special Station
SN9[A-Z]% 3Z9[A-Z]% HF9[A-Z]% SN9[A-Z]%% 3Z9[A-Z]%% HF9[A-Z]%%|Poland, Krakow, Special Station
SP0 SN0 SO0 SQ0 SR0 3Z0 HF0|Poland, Special Station
SN## SO## SP## SQ## SR## 3Z## HF##|Poland, Special Station
SP1[KPZ]%% S[NQ-R]1[KPZ]%% 3Z1[KPZ]%%|Poland, Sczeczin, Club Station
SP2[KPZ]%% S[NQ-R]2[KPZ]%% 3Z2[KPZ]%%|Poland, Gdansk, Club Station
SP3[KPZ]%% S[NQ-R]3[KPZ]%% 3Z3[KPZ]%%|Poland, Gorzow, Club Station
SP4[KPZ]%% S[NQ-R]4[KPZ]%% 3Z4[KPZ]%%|Poland, Bialystok, Club Station
SP5[KPZ]%% S[NQ-R]5[KPZ]%% 3Z5[KPZ]%%|Poland, Warszawa, Club Station
SP6[KPZ]%% S[NQ-R]6[KPZ]%% 3Z6[KPZ]%%|Poland, Wroclaw, Club Station
SP7[KPZ]%% S[NQ-R]7[KPZ]%% 3Z7[KPZ]%%|Poland, Lodz, Club Station
SP8[KPZ]%% S[NQ-R]8[KPZ]%% 3Z8[KPZ]%%|Poland, Bielsko Biala, Club Station
SP9[KPZ]%% S[NQ-R]9[KPZ]%% 3Z9[KPZ]%%|Poland, Krakow, Club Station
SR1%%%|Poland, Sczeczin, Beacon, Digi or Repeater
SR2%%%|Poland, Gdansk, Beacon Digi or Repeater
SR3%%%|Poland, Gorzow, Beacon Digi or Repeater
SR4%%%|Poland, Bialystok, Beacon Digi or Repeater
SR5%%%|Poland, Warszawa, Beacon Digi or Repeater
SR6%%%|Poland, Wroclaw, Beacon Digi or Repeater
SR7%%%|Poland, Lodz, Beacon Digi or Repeater
SR8%%%|Poland, Bielsko Biala, Beacon Digi or Repeater
SR9%%%|Poland, Krakow, Beacon Digi or Repeater
ST0 6[T-U]0 SS0|Sudan, Guest Operators
ST3 6[T-U]3 SS3|Sudan, Wad Madani, Central region (Black Nile Prov.)
ST4 6[T-U]4 SS4|Sudan, Al Ubayyid, Kordofan Region
ST5 6[T-U]5 SS5|Sudan, Kassala, Eastern region
ST6 6[T-U]6 SS6|Sudan, Port Sudan, Northeast region (Red Sea Prov.)
ST7 6[T-U]7 SS7|Sudan, Ad'Damir, Northwest region
ST8 6[T-U]8 SS8|Sudan, Al'Fashir, Darfour region
ST9 6[T-U]9 SS9|Sudan, Malakal, Central south region; Wau, Bahr-al-Ghazal region
ST[1-2] 6[T-U][1-2] SS[1-2]|Sudan, Khartoum Region
ST##|Sudan, Special Station
6A1|Egypt, Sinai Peninsula
MD5|Egypt
SU0 6A0 6B0|Egypt, Club Station
SU1|Egypt, Cairo (Al Qahirah)
SU2|Egypt, Alexandria (Al Iskandariyah)
SU3|Egypt, Port Said (Bur Sa'id)
SU5|Egypt, Suhaj (Sohag)
SU8|Egypt, Special & Event Station
SU9|Egypt, Guest Operators
6A1 6B1|Egypt, Cairo (Al Qahirah), Special Station
6A2 6B2|Egypt, Alexandria (Al Iskandariyah), Special Station
6A3 6B3|Egypt, Port Said (Bur Sa'id), Special Station
6A5 6B5|Egypt, Suhaj (Sohag), Special Station
SU## 6A[8-9] 6B[8-9]|Egypt, Special Station
SW5 SX5 SY5 SZ5 J45|Dodecanese, Special Station
SV5%%/J SV5%%%/J SW5%%/J SW5%%%/J SX5%%/J SX5%%%/J|Dodecanese, Jamboree on the Air Station
SY5%%/J SY5%%%/J SZ5%%/J SZ5%%%/J J45%%/J J45%%%/J|Dodecanese, Jamboree on the Air Station
SW9 SX9 SY9 SZ9 J49|Crete, Special Station
SV9%%/J SV9%%%/J SW9%%/J SW9%%%/J SX9%%/J SX9%%%/J|Crete, Jamboree on the Air Station
SY9%%/J SY9%%%/J SZ9%%/J SZ9%%%/J J49%%/J J49%%%/J|Crete, Jamboree on the Air Station
J42004|Greece, Guest Operators, Special Operation
J4 SX0 SY0 SY##|Greece, Special Station
SV0|Greece, Guest Operators
SV1|Greece, Sterea Ellada, Attica (Fokis, Attiki, Evritania)
SV2|Greece, Central West Macedonia (Pella, Florina, Kastoria)
SV3|Greece, Peloponnese (Messinia, Korinthia, Argol)
SV4|Greece, Thessalia (Arta, Thesprotia, Ioannina)
SV6|Greece, Epiros (Ioannina, Igoumenitsa, Arta, Preveza)
SV7|Greece, Thrakia, East Macedonia (Kefallinia, Evia, Kikladhe)
SV8|Greece, Aegean and Ionian Islands
SW1|Greece, Sterea Ellada, Attica (Fokis, Attiki, Evritania), VHF Class
SW2|Greece, Central West Macedonia (Pella, Florina, Kastoria), VHF Class
SW3|Greece, Peloponnese, (Messinia, Korinthia, Argol) VHF Class
SW4|Greece, Thessalia (Arta, Thesprotia, Ioannina), VHF Class
SW6|Greece, Epiros (Ioannina, Igoumenitsa, Arta, Preveza), VHF Class
SW7|Greece, Thrakia, East Macedonia (Kefallinia, Evia, Kikladhe), VHF Class
SW8|Greece, Aegean and Ionian Islands, VHF Class
SX1 SY1 SZ1 J41|Greece, Sterea Ellada, Attica (Fokis, Attiki, Evritania), Special Station
SX2 SY2 SZ2 J42|Greece, Central West Macedonia (Pella, Florina, Kastoria), Special Station
SX3 SY3 SZ3 J43|Greece, Peloponnese (Messinia, Korinthia, Argol), Special Station
SX4 SY4 SZ4 J44|Greece, Thessalia (Arta, Thesprotia, Ioannina), Special Station
SX6 SY6 SZ6 J46|Greece, Epiros (Ioannina, Igoumenitsa, Arta, Preveza), Special Station
SX7 SY7 SZ7 J47|Greece, Thrakia, East Macedonia (Kefallinia, Evia, Kikladhe), Special Station
SX8 SY8 SZ8 J48|Greece, Aegean and Ionian Islands, Special Station
SV## SW## SX## SY## SZ##|Greece, Special Station
VR8|Tuvalu
VR1|West Kiribati
T3A T3K|West Kiribati
VR3 VR7|East Kiribati (Fanning & Christmas Isl.)
T3L|East Kiribati (Fanning & Christmas Isl.)
T3P|Central Kiribati
VR1P|Central Kiribati
M1 9A|San Marino
T6|Afghanistan
T9|Prefix has been returned to the ITU, now unallocated (no DXCC credit!)
T9 T9# T9[A-Z] T9/%%%% T9/%%%%% T9/%%%%%% T9/%%%%%%% T9/%%%%%%%%|Bosnia-Herzegovina
T90 T99%%%|Bosnia-Herzegovina, ARABiH or Special Station
T91%%%|Bosnia-Herzegovina, Club Station
T92%%%|Bosnia-Herzegovina, D Class
T94%%|Bosnia-Herzegovina, B Class
T95%%%|Bosnia-Herzegovina, C Class
T98%%% T99%%|Bosnia-Herzegovina, Guest Operators
T9[1-9]%|Bosnia-Herzegovina, A Class
E7|Bosnia-Herzegovina
TA0 TB0 TC0 YM0|Turkey, Club & Special Stations, Islands
TA1|Turkey, Istanbul, Edime (EU)
TA2|Turkey, Nortwestern Anatolia, Ankara, Bilecik (AS)
TA3|Turkey, Western Anatolia, Izmir, Balikesir, Bursa (AS)
TA4|Turkey, Southwestern Anatolia, Aydin, Burdur (AS)
TA5|Turkey, Center south Anatolia, Adana, Hatay (AS)
TA6|Turkey, Center north Anatolia, Amasya, Cankiri (AS)
TA7|Turkey, Northeastern Anatolia, Erzincan, Giresun (AS)
TA8|Turkey, Southeastern Anatolia, Adiyaman, Urfa (AS)
TA9|Turkey, Eastern Anatolia, Agri, Artvin (AS)
TB1 TC1 YM1|Turkey, Istanbul, Edime (EU), Special Station
TB2 TC2 YM2|Turkey, Nortwestern Anatolia, Ankara, Bilecik (AS), Special Station
TB3 TC3 YM3|Turkey, Western Anatolia, Izmir, Balikesir, Bursa (AS), Special Station
TB4 TC4 YM4|Turkey, Southwestern Anatolia, Aydin, Burdur (AS), Special Station
TB5 TC5 YM5|Turkey, Center south Anatolia, Adana, Hatay (AS), Special Station
TB6 TC6 YM6|Turkey, Center north Anatolia, Amasya, Cankiri (AS), Special Station
TB7 TC7 YM7|Turkey, Northeastern Anatolia, Erzincan, Giresun (AS), Special Station
TB8 TC8 YM8|Turkey, Southeastern Anatolia, Adiyaman, Urfa (AS), Special Station
TB9 TC9 YM9|Turkey, Eastern Anatolia, Agri, Artvin (AS), Special Station
TA## TB## TC## YM##|Turkey (AS), Special Station
TC50TRAC/%%% TC50TRAC/%%%%|Turkey (AS), Special Station (T.R.A.C 50th Anniversary)
TF|Iceland, Guest License
TF0|Iceland, Central uninhabited
TF1|Iceland, Arnessysla, Rangarvallasysla, Vestur Skaftafellssysla
TF2|Iceland, Akranes, Austur Bardhastrandarsysla, Borgarfjardharsysla, Dalasysla, Myrasysla
TF3|Iceland, Reykjavik, Hafnarfjordhur, Kjosarsysla, Kopavogur
TF4|Iceland, Isafjordhur, Nordhur Isafjardharsysla, Strandasysla, Vestur Bardhastrandarsysla, Vestur I
TF5|Iceland, Akureyri, Eyjafjardharsysla, Husavik, Nordhur Thingeyjarsysla, Olafsfjordhur
TF6|Iceland, Austur Skaftafellssysla, Neskaupstadhur, Nordhur og Sudhur Mulasysla, Seydhisfjordhur
TF7|Iceland, Vestmannaeyjar Islands
TF8|Iceland, Gullbringusysla, Keflavik
TF9|Iceland, Austur Hunavatnssysla, Saudharkrokur, Skagafjardharsysla, Vestur Hunavatnssysla
TF0%%N|Iceland, Central uninhabited, Novice
TF1%%N|Iceland, Arnessysla, Rangarvallasysla, Vestur Skaftafellssysla, Novice
TF2%%N|Iceland, Akranes, Austur Bardhastrandarsysla, Borgarfjardharsysla, Dalasysla, Myrasysla, Novice
TF3%%N|Iceland, Reykjavik, Hafnarfjordhur, Kjosarsysla, Kopavogur, Novice
TF4%%N|Iceland, Isafjordhur, Nordhur Isafjardharsysla, Strandasysla, Vestur Bardhastrandarsysla, Vestur-I
TF5%%N|Iceland, Akureyri, Eyjafjardharsysla, Husavik, Nordhur Thingeyjarsysla, Olafsfjordhur, Novice
TF6%%N|Iceland, Austur Skaftafellssysla, Neskaupstadhur, Nordhur og Sudhur Mulasysla, Seydhisfjordhur, N
TF7%%N|Iceland, Vestmannaeyjar Islands, Novice
TF8%%N|Iceland, Gullbringusysla, Keflavik, Novice
TF9%%N|Iceland, Austur Hunavatnssysla, Saudharkrokur, Skagafjardharsysla, Vestur Hunavatnssysla, Novice
TG0 TD0|Guatemala, Special Station
TG4 TD4|Guatemala, Solala, Sta. Rosa
TG5 TD5|Guatemala, Huehuetenango, El Quiche
TG6 TD6|Guatemala, Chiquimula
TG7 TD7|Guatemala, Alta Verapaz
TG8 TD8|Guatemala, Quetzaltenango
TG9 TD9|Guatemala, Guatemala City
TG4X%% TD4X%%|Guatemala, Solala, Sta. Rosa, Guest Operator
TG5X%% TD5X%%|Guatemala, Huehuetenango, El Quiche, Guest Operator
TG6X%% TD6X%%|Guatemala, Chiquimula, Guest Operator
TG7X%% TD7X%%|Guatemala, Alta Verapaz, Guest Operator
TG8X%% TD8X%%|Guatemala, Quetzaltenango, Guest Operator
TG9X%% TD9X%%|Guatemala, Guatemala City, Guest Operator
TI0 TE0 TI1 TE1|Costa Rica, Special Station
TI2 TE2|Costa Rica, San Jose
TI3 TE3|Costa Rica, Cartago
TI4 TE4|Costa Rica, Heredia
TI5 TE5|Costa Rica, Alajuela
TI6 TE6|Costa Rica, Limon
TI7 TE7|Costa Rica, Guanacaste
TI8 TE8|Costa Rica, Puntarenas
TL TL#|Central African Republic
TS[0-9] 3V[0-79]|Tunisia, Special or Contest Station
TT8 TT0|Chad
TU TU#|Ivory Coast
TW|Wallis & Futuna Islands
FT4 FM4|Tunisia
FE8|French Cameroon
FC|Corsica
FO FO#|French Polynesia
VP2A|Antigua, Barbuda
V2A V2#|Antigua, Barbuda
VP1|British Honduras
VP2K|St. Kitts, Nevis
V44 V47|St. Kitts, Nevis
ZS3|South West Africa
V5 V5#|Namibia
V85 V8[1-46-90]|Brunei Darussalam
VS5|Brunei Darussalam
3B 3C|Canada
VE0 V[A-DFG]0 C[F-K]0 C[Y-Z]0 V[X-Y]0 X[J-O]0|Canada, Off shore Station
VE1 V[A-DFG]1 C[F-K]1 C[Y-Z]1 V[X-Y]1 X[J-O]1|Canada, Nova Scotia (NS)
VE2 V[A-DFG]2 C[F-K]2 C[Y-Z]2 V[X-Y]2 X[J-O]2|Canada, Quebec (QU)
VE3 V[A-DFG]3 C[F-K]3 C[Y-Z]3 V[X-Y]3 X[J-O]3|Canada, Ontario (ON)
VE4 V[A-DFG]4 C[F-K]4 C[Y-Z]4 V[X-Y]4 X[J-O]4|Canada, Manitoba (MB)
VE5 V[A-DFG]5 C[F-K]5 C[Y-Z]5 V[X-Y]5 X[J-O]5|Canada, Saskatchewan (SK)
VE6 V[A-DFG]6 C[F-K]6 C[Y-Z]6 V[X-Y]6 X[J-O]6|Canada, Alberta (AB)
VE7 V[A-DFG]7 C[F-K]7 C[Y-Z]7 V[X-Y]7 X[J-O]7|Canada, British Columbia (BC)
VE8 V[A-DFG]8 C[F-K]8 C[Y-Z]8 V[X-Y]8 X[J-O]8|Canada, N.W.Terr. (NW)
VE9 V[A-DFG]9 C[F-K]9 C[Y-Z]9 V[X-Y]9 X[J-O]9|Canada, New Brunswick (NB)
VO1 VO[3-9]|Canada, Newfoundland (NF)
VO2|Canada, Labrador (LAB)
VO8|Canada, Labrador (LAB)
VX9|Canada (any location), 60m development licence
VY0|Canada, Nunavut (NU)
VY1|Canada, Yukon (YU)
VY2|Canada, Prince Edward Isl. (PEI)
CY0|St. Paul Island
VK1|Australia, Canberra (ACT)
VK2|Australia, New South Wales (NSW)
VK3|Australia, Victoria (VIC)
VK4|Australia, Queensland (QLD)
VK5|Australia, South Australia (SA)
VK6|Australia, Western Australia (WA)
VK7|Australia, Tasmania (TAS)
VK8|Australia, Northern Territory (NT)
VK1[A-Z]% VK1[A-GI-KS-UW-Z][A-Z]%|Australia, Canberra (ACT), Advanced license
VK2[A-Z]% VK2[A-GI-KS-UW-Z][A-Z]%|Australia, New South Wales (NSW), Advanced license
VK3[A-Z]% VK3[A-GI-KS-UW-Z][A-Z]%|Australia, Victoria (VIC), Advanced license
VK4[A-Z]% VK4[A-GI-KS-UW-Z][A-Z]%|Australia, Queensland (QLD), Advanced license
VK5[A-Z]% VK5[A-GI-KS-UW-Z][A-Z]%|Australia, South Australia (SA), Advanced license
VK6[A-Z]% VK6[A-GI-KS-UW-Z][A-Z]%|Australia, Western Australia (WA), Advanced license
VK7[A-Z]% VK7[A-GI-KS-UW-Z][A-Z]%|Australia, Tasmania (TAS), Advanced license
VK8[A-Z]% VK8[A-GI-KS-UW-Z][A-Z]%|Australia, Northern Territory (NT), Advanced license
AX1[A-Z]% AX1[A-GI-KS-UW-Z][A-Z]%|Australia, Canberra (ACT), Special Station
AX2[A-Z]% AX2[A-GI-KS-UW-Z][A-Z]%|Australia, New South Wales (NSW), Special Station
AX3[A-Z]% AX3[A-GI-KS-UW-Z][A-Z]%|Australia, Victoria (VIC), Special Station
AX4[A-Z]% AX4[A-GI-KS-UW-Z][A-Z]%|Australia, Queensland (QLD), Special Station
AX5[A-Z]% AX5[A-GI-KS-UW-Z][A-Z]%|Australia, South Australia (SA), Special Station
AX6[A-Z]% AX6[A-GI-KS-UW-Z][A-Z]%|Australia, Western Australia (WA), Special Station
AX7[A-Z]% AX7[A-GI-KS-UW-Z][A-Z]%|Australia, Tasmania (TAS), Special Station
AX8[A-Z]% AX8[A-GI-KS-UW-Z][A-Z]%|Australia, Northern Territory (NT), Special Station
VK9[ABD-KO-V] V[HIJLMNZ]9[ABD-KO-V]|Australia, Special Station
VK[0-9]# V[H-N]## VZ## AX##|Australia, Special Station
V[HIJLMNZ]1% V[HIJLMNZ]1%% V[HIJLMNZ]1[A-GI-KS-UW-Z]%%|Australia, Canberra (ACT), Special Station
V[HIJLMNZ]2% V[HIJLMNZ]2%% V[HIJLMNZ]2[A-GI-KS-UW-Z]%%|Australia, New South Wales (NSW), Special Station
V[HIJLMNZ]3% V[HIJLMNZ]3%% V[HIJLMNZ]3[A-GI-KS-UW-Z]%%|Australia, Victoria (VIC), Special Station
V[HIJLMNZ]4% V[HIJLMNZ]4%% V[HIJLMNZ]4[A-GI-KS-UW-Z]%%|Australia, Queensland (QLD), Special Station
